Student ID,Incident Description,Incident Place,Action,Date
79191155393,Incident that happened,Grounds,2 DAYS ISS,11/1/2018
79191155393,Incident that happened,Halls,3 DAYS ISS,1/9/2019
79957733917,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,2/12/2019
73771139531,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,9/26/2018
73771139531,Incident that happened,Playground,PARENT CONTACT / CONFERENCE,9/27/2018
73771139531,Incident that happened,Playground,PARENT CONTACT / CONFERENCE,10/4/2018
79331195957,Incident that happened,Classroom,WARNING,9/4/2018
79331195957,Incident that happened,Classroom,WARNING,10/8/2018
79331195957,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/10/2018
79331195957,Incident that happened,Classroom,WARNING,10/19/2018
79331195957,Incident that happened,Classroom,,
79331195957,Incident that happened,Classroom,2 DAYS OSS,11/13/2018
77791151777,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,1/24/2019
77791151777,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,2/28/2019
77791151777,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,4/25/2019
77791151777,Incident that happened,Classroom,1 DAY ISS,5/7/2019
71997157919,Incident that happened,Classroom,1 DAY ISS,9/26/2018
71997157919,Incident that happened,Classroom,,
75577977719,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/3/2018
75577977719,Incident that happened,Classroom,1 DAY ISS,4/5/2019
75577977719,Incident that happened,Other,1 DAY ISS,4/8/2019
75577977719,Incident that happened,Classroom,1 DAY ISS,4/18/2019
75577977719,Incident that happened,Classroom,PERIOD ISS,4/18/2019
75577977719,Incident that happened,Classroom,1 DAY ISS,5/14/2019
73179197959,Incident that happened,Classroom,WARNING,10/8/2018
77117751173,Incident that happened,Classroom,1 DAY ISS,1/30/2019
77117751173,Incident that happened,Other,1 DAY ISS,4/16/2019
77117751173,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,4/25/2019
77117751173,Incident that happened,Classroom,1 DETENTION ASSIGNED,5/1/2019
77117751173,Incident that happened,School Bus,1 DAY ISS,5/21/2019
71311771171,Incident that happened,Classroom,REMOVED FROM CLASS,2/14/2019
77135157771,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,11/16/2018
77135157771,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,1/24/2019
77135157771,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/28/2019
75973379379,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/8/2018
75973379379,Incident that happened,Cafeteria,,
75973379379,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,5/13/2019
77917535371,Incident that happened,School Bus,PARENT CONTACT / CONFERENCE,12/3/2018
73919177397,Incident that happened,Classroom,1 DAY ISS,4/23/2019
79559915757,Incident that happened,Halls,1 DETENTION ASSIGNED,5/7/2019
79337937353,Incident that happened,Cafeteria,1 DAY ISS,11/14/2018
73933971537,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/1/2018
73933971537,Incident that happened,Halls,WARNING,2/14/2019
73531793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,9/6/2018
73531793353,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,9/13/2018
73531793353,Incident that happened,Classroom,2 DAYS ISS,9/17/2018
73531793353,Incident that happened,Classroom,,
73531793353,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/13/2019
75133177759,Incident that happened,Classroom,WARNING,9/11/2018
75133177759,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,9/12/2018
71573771315,Incident that happened,Loc/Bus,PARENT CONTACT / CONFERENCE,9/19/2018
73731117533,Incident that happened,Halls,,
73731117533,Incident that happened,Halls,PARENT CONTACT / CONFERENCE,4/24/2019
73551517711,Incident that happened,Classroom,1 DAY ISS,10/30/2018
73551517711,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,11/26/2018
73551517711,Incident that happened,Grounds,3 DAYS ISS,5/13/2019
77153593737,Incident that happened,Gym,,
77153593737,Incident that happened,School Bus,,
77153593737,Incident that happened,School Bus,OFF OF BUS 1 DAY,1/29/2019
79395511153,Incident that happened,Classroom,WARNING,9/24/2018
79395511153,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/1/2018
79395511153,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,10/3/2018
79395511153,Incident that happened,Classroom,WARNING,10/22/2018
79395511153,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,10/31/2018
79395511153,Incident that happened,Classroom,THURSDAY NIGHT DETENTION,12/6/2018
79395511153,Incident that happened,Classroom,1 DETENTION ASSIGNED,12/19/2018
79395511153,Incident that happened,Classroom,,
75179197575,Incident that happened,Classroom,WARNING,10/1/2018
75179197575,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/2/2018
75179197575,Incident that happened,Classroom,WARNING,10/29/2018
75179197575,Incident that happened,Classroom,1 DETENTION ASSIGNED,10/31/2018
71533517131,Incident that happened,Classroom,WARNING,9/4/2018
71533517131,Incident that happened,Classroom,WARNING,9/7/2018
71533517131,Incident that happened,Classroom,1 DETENTION ASSIGNED,9/12/2018
71533517131,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,10/1/2018
71533517131,Incident that happened,Classroom,WARNING,12/3/2018
71533517131,Incident that happened,Classroom,2 DETENTIONS ASSIGNED,12/18/2018
71533517131,Incident that happened,Classroom,,
71533517131,Incident that happened,Classroom,,
79373713731,Incident that happened,Classroom,1 DAY ISS,9/7/2018
79373713731,Incident that happened,School Bus,PRINCIPAL/STUDENT CONFERENCE,9/12/2018
79373713731,Incident that happened,School Bus,OFF OF BUS 3 DAYS,9/14/2018
79373713731,Incident that happened,School Bus,OFF OF BUS 1 DAY,10/9/2018
79373713731,Incident that happened,School Bus,2 DAYS OSS,10/29/2018
79373713731,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,12/17/2018
79373713731,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,1/25/2019
79373713731,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/13/2019
79373713731,Incident that happened,Classroom,1 DAY ISS,4/3/2019
79373713731,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,4/4/2019
79373713731,Incident that happened,Halls,1 DAY ISS,5/1/2019
79373713731,Incident that happened,School Bus,2 DAYS ISS,4/29/2019
75391195739,Incident that happened,Classroom,CONFERENCE WITH ADMIN,8/20/2018
75391195739,Incident that happened,Classroom,CONFERENCE WITH ADMIN,8/22/2018
75391195739,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,8/27/2018
75391195739,Incident that happened,Classroom,REMOVED FROM CLASS,8/28/2018
75391195739,Incident that happened,Classroom,1/2 DAY OSS,8/29/2018
75391195739,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,8/30/2018
75391195739,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,9/5/2018
75391195739,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,9/5/2018
75391195739,Incident that happened,Cafeteria,1/2 DAY OSS,9/11/2018
75391195739,Incident that happened,Classroom,PERIOD ISS,9/12/2018
75391195739,Incident that happened,Cafeteria,1/2 DAY OSS,9/12/2018
75391195739,Incident that happened,Classroom,PERIOD ISS,9/13/2018
75391195739,Incident that happened,Classroom,,
75391195739,Incident that happened,Classroom,PERIOD ISS,9/18/2018
75391195739,Incident that happened,Cafeteria,PERIOD ISS,9/18/2018
75391195739,Incident that happened,Classroom,1 DAY OSS,9/18/2018
75391195739,Incident that happened,Office,1.5 DAYS OSS,9/25/2018
75391195739,Incident that happened,Classroom,2 HOURS ISS,10/18/2018
75391195739,Incident that happened,Office,1/2 DAY OSS,10/19/2018
75391195739,Incident that happened,Classroom,1/2 DAY OSS,10/22/2018
75391195739,Incident that happened,Classroom,1/2 DAY OSS,10/23/2018
75391195739,Incident that happened,Classroom,1 DAY OSS,10/24/2018
75391195739,Incident that happened,Playground,1/2 DAY OSS,10/30/2018
75391195739,Incident that happened,Office,1/2 DAY OSS,11/1/2018
75391195739,Incident that happened,Classroom,3 DAYS OSS,11/2/2018
75391195739,Incident that happened,Classroom,1/2 DAY OSS,11/12/2018
75391195739,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,11/13/2018
75391195739,Incident that happened,Classroom,3 DAYS OSS,11/14/2018
75391195739,Incident that happened,Classroom,REMOVED FROM CLASS,11/20/2018
75391195739,Incident that happened,Classroom,REMOVED FROM CLASS,11/27/2018
75391195739,Incident that happened,School Bus,PARENT CONTACT / CONFERENCE,11/27/2018
75391195739,Incident that happened,Classroom,1 DAY ISS,11/28/2018
75391195739,Incident that happened,Halls,,
75391195739,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,1/8/2019
75391195739,Incident that happened,Classroom,1/2 DAY OSS,2/28/2019
79773333931,Incident that happened,Grounds,3 DAYS ISS,5/20/2019
73117753739,Incident that happened,Cafeteria,PARENT CONTACT / CONFERENCE,4/25/2019
71395311731,Incident that happened,Classroom,1 DAY ISS,4/1/2019
71395311731,Incident that happened,School Bus,3 DAYS ISS,5/24/2019
71777715119,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,9/10/2018
71777715119,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,9/25/2018
71777715119,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,11/6/2018
71777715119,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,11/7/2018
